table_name,column_ordinal,column_name,declared_type,is_not_null,pk_position
COM_Company,57,IsParent,bit,1,0
COM_Company,58,KitchenDeptFax,varchar(100),0,0
COM_Company,59,SalesTaxCertExp,date,0,0
COM_Company,60,COOID,INT,0,0
COM_Company,61,SquareFootageRoundingID,INT,0,0
COM_Company,62,MorawareUrl,varchar(255),0,0
COM_Company,63,MorawareIntegration,bit,1,0
COM_Company,64,MorawareApiVersion,INT,0,0
COM_Company,65,MorawareRONumberField,varchar(100),0,0
COM_Company,66,MorawareAccountView,varchar(100),0,0
COM_Company,67,MapImageAwsS3key,varchar(45),0,0
COM_Company,68,MapImageUpdatedOn,datetime,0,0
COM_Company,69,CustomerNotifications,bit,0,0
COM_Company,70,CompanyLogo,varchar(250),0,0
COM_Company,71,TerritoryMngrID,INT,0,0
COM_Company,72,MorawareImportFiles,bit,1,0
COM_Company,73,MorawareImportNotes,bit,1,0
COM_Company,74,MorawareExportDates,bit,1,0
COM_Company,75,MorawareExportFiles,bit,1,0
COM_Company,76,MorawareExportNotes,bit,1,0
COM_Company,77,MorawareExportOrders,bit,1,0
COM_Company,78,MorawareNewJobTemplate,varchar(100),0,0
COM_Company,79,MorawareNewJobAccount,varchar(100),0,0
COM_Company,80,MorawareImportNotesActivity,varchar(100),0,0
COM_Company,81,MorawareExportNotesActivity,varchar(100),0,0
COM_Company,82,Lat,"decimal(11,8)",0,0
COM_Company,83,Lon,"decimal(11,8)",0,0
COM_Company,84,MorawareExportNotesActivityStatus,varchar(100),0,0
COM_Company,85,CurrentLayout,varchar(50),0,0
COM_Company,86,CurrentLayoutDate,datetime,0,0
COM_Company,87,ResetLayout,varchar(50),0,0
COM_Company,88,ResetLayoutDate,datetime,0,0
COM_Company,89,MorawareProcess,varchar(100),0,0
COM_Company,90,GraniteDistributor,varchar(20),0,0
COM_Company,91,MorawareCompletedCOCFileType,varchar(100),0,0
COM_Company,92,DMISEmail,varchar(254),0,0
COM_Company,93,DMISPersonName,varchar(128),0,0
COM_Company,94,DivisionId,INT,0,0
COM_Company,95,MorawareExportWorkOrders,bit,1,0
COM_Company,96,MorawareNewWOTemplate,varchar(100),0,0
COM_Company,97,MorawareNewWOAccount,varchar(100),0,0
COM_Company,98,MorawareCompletedWOFileType,varchar(100),0,0
COM_Company,99,CustNotifContactEmail,varchar(100),0,0
COM_Company,100,CustNotifContactPhone,varchar(100),0,0
COM_Company,101,CustNotifContactEntity,varchar(100),0,0
COM_Company,102,InvoiceMethodID,INT,0,0
COM_Company,103,InvoiceTypeID,INT,0,0
COM_Company,104,LicenseExpirationDate,date,0,0
COM_Company,105,LicenseExpirationDate2,date,0,0
COM_Company,106,LicenseType,varchar(300),0,0
COM_Company,107,LicenseType2,varchar(300),0,0
COM_Company,108,CEPortalEnabled,bit,0,0
COM_Company,109,QuoteDaysValid,INT,0,0
COM_Company,110,BusinessFlowID,INT,0,0
COM_Company,111,ECommerceDealer,bit,1,0
COM_Company,112,PricingLogicID,INT,0,0
COM_Company,113,StoreDivision,varchar(10),0,0
COM_Company,114,Market,INT,0,0
COM_Company,115,TravelDistanceInMiles,"decimal(10,2)",0,0
COM_Company,116,InsideSalesRepID,INT,0,0
COM_Company,117,Contact,varchar(100),0,0
COM_Company,118,CustNotifCabContactEmail,varchar(100),0,0
COM_Company,119,CustNotifCabContactPhone,varchar(100),0,0
COM_Company,120,HausProSalesRepID,INT,0,0
COM_Company,121,HausProSalesMngrID,INT,0,0
COM_Company,122,HausProInsideSalesRepID,INT,0,0
COM_Company,123,HausProCustomerNumber,varchar(40),0,0
COM_Company,124,HausProBackgroundCheck,bit,0,0
COM_Company,125,HausProTermFromID,INT,0,0
COM_Company,126,HausProTermToID,INT,0,0
COM_Company,127,HausProPriceRegionID,INT,0,0
COM_Company,128,HausProCustomerTypeID,INT,0,0
COM_Company,129,HausProVendorNumber,varchar(32),0,0
COM_Company,130,PrimaryPortalLogo,nvarchar(500),0,0
COM_CompanySetting,0,CompanySettingID,INT,1,0
COM_CompanySetting,1,CompanyID,INT,1,0
COM_CompanySetting,2,SettingName,varchar(100),1,0
COM_CompanySetting,3,SettingValue,nvarchar(1024),0,0
COM_CompanySetting,4,CreatedBy,varchar(50),1,0
COM_CompanySetting,5,CreatedOn,datetime2(2),1,0
COM_CompanySetting,6,LastUpdatedBy,varchar(50),1,0
COM_CompanySetting,7,LastUpdatedOn,datetime2(2),1,0
COM_CompanyType,0,CompanyTypeID,INT,1,0
COM_CompanyType,1,CompanyTypeCode,varchar(20),1,0
COM_CompanyType,2,CompanyTypeName,varchar(100),1,0
COM_DistributorAssignment,4,LastUpdatedBy,varchar(50),1,0
COM_DistributorAssignment,5,LastUpdatedOn,datetime2(2),1,0
COM_DistributorAssignment,7,LocationID,INT,1,0
COM_DistributorAssignment,11,ValidShipDays,tinyint,0,0
COM_DistributorAssignment,22,RangeOfRecurrenceStartDate,datetime,0,0
COM_DistributorAssignment,23,RangeOfRecurrenceEndDate,datetime,0,0
COM_DistributorAssignment,27,NoEndDate,bit,0,0
